,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
5488,Newcastle,Sunderland,0,1,A,18,14,22,24,1.3529411764705883,0.9411764705882353,L,W,D,D,D,L,10.0,14.0,17.0,-4.0,-0.23529411764705882,-0.5882352941176471,LWD,DDL,4,2,0.11764705882352941
5489,Stoke,Chelsea,0,2,A,18,36,21,13,1.1176470588235294,2.2941176470588234,D,W,L,W,L,W,9.0,3.0,17.0,6.0,-0.17647058823529413,1.3529411764705883,DWL,WLW,4,6,-0.11764705882352941
5490,Arsenal,QPR,2,1,H,30,20,21,32,1.5,0.9444444444444444,D,W,L,W,L,W,4.0,18.0,18.0,-14.0,0.5,-0.6666666666666666,DWL,WLW,4,6,-0.1111111111111111
5491,Burnley,Liverpool,0,1,A,12,21,26,24,0.8333333333333334,1.2222222222222223,L,W,L,D,L,D,18.0,2.0,18.0,16.0,-0.7777777777777778,-0.16666666666666666,LWL,DLD,3,2,0.05555555555555555
5492,Chelsea,West Ham,2,0,H,38,29,13,19,2.3333333333333335,1.7222222222222223,W,W,L,W,D,W,3.0,13.0,18.0,-10.0,1.3888888888888888,0.5555555555555556,WWL,WDW,6,7,-0.05555555555555555
5493,Crystal Palace,Southampton,1,3,A,19,28,27,13,0.8333333333333334,1.6111111111111112,L,D,D,W,L,L,11.0,8.0,18.0,3.0,-0.4444444444444444,0.8333333333333334,LDD,WLL,2,3,-0.05555555555555555
5494,Everton,Stoke,0,1,A,27,18,27,23,1.1666666666666667,1.0555555555555556,L,W,L,L,D,W,5.0,9.0,18.0,-4.0,0.0,-0.2777777777777778,LWL,LDW,3,4,-0.05555555555555555
5495,Leicester,Tottenham,1,2,A,15,22,29,23,0.5555555555555556,1.5,L,L,L,W,W,D,18.0,6.0,18.0,12.0,-0.7777777777777778,-0.05555555555555555,LLL,WWD,0,7,-0.3888888888888889
5496,Man United,Newcastle,3,1,H,30,18,18,23,1.7777777777777777,1.2777777777777777,D,W,W,L,L,W,7.0,10.0,18.0,-3.0,0.6666666666666666,-0.2777777777777778,DWW,LLW,7,3,0.2222222222222222
5497,Sunderland,Hull,1,3,A,15,15,24,24,1.0555555555555556,0.7222222222222222,W,D,D,L,L,D,14.0,16.0,18.0,-2.0,-0.5,-0.5,WDD,LLD,5,1,0.2222222222222222
5498,Swansea,Aston Villa,1,0,H,22,11,19,21,1.3888888888888888,1.1111111111111112,W,L,L,D,L,W,12.0,15.0,18.0,-3.0,0.16666666666666666,-0.5555555555555556,WLL,DLW,3,4,-0.05555555555555555
5499,West Brom,Man City,1,3,A,17,36,23,14,0.9444444444444444,2.1666666666666665,L,W,D,W,W,W,17.0,1.0,18.0,16.0,-0.3333333333333333,1.2222222222222223,LWD,WWW,4,9,-0.2777777777777778
5500,Aston Villa,Sunderland,0,0,D,11,16,22,27,1.0526315789473684,1.0,L,D,L,L,W,D,15.0,14.0,19.0,1.0,-0.5789473684210527,-0.5789473684210527,LDL,LWD,1,4,-0.15789473684210525
5501,Hull,Leicester,0,1,A,18,16,25,31,0.8421052631578947,0.5263157894736842,W,L,L,L,L,L,16.0,18.0,19.0,-2.0,-0.3684210526315789,-0.7894736842105263,WLL,LLL,3,0,0.15789473684210525
5502,Man City,Burnley,2,2,D,39,12,15,27,2.210526315789474,0.7894736842105263,W,W,W,L,L,W,1.0,18.0,19.0,-17.0,1.263157894736842,-0.7894736842105263,WWW,LLW,9,3,0.3157894736842105
